temperature,humidity,rainfall,temp_humidity_interaction,temp_rainfall_interaction,aqi
27.1,84.0,5.2,2276.4,140.92000000000002,122.0
28.5,74.0,0.0,2109.0,0.0,153.5
27.9,77.0,5.9,2148.2999999999997,164.61,128.7
28.4,78.0,0.3,2215.2,8.52,139.2
27.9,78.0,0.0,2176.2,0.0,137.5
27.2,80.0,0.8,2176.0,21.76,134.2
27.9,78.0,0.0,2176.2,0.0,138.9
28.4,75.0,0.0,2130.0,0.0,145.2
27.8,79.0,6.7,2196.2000000000003,186.26000000000002,141.3
28.1,76.0,0.0,2135.6,0.0,127.5
28.8,74.0,0.0,2131.2000000000003,0.0,181.9
28.8,76.0,0.0,2188.8,0.0,159.7
