date,region,temperature,humidity,rainfall,aqi
2006-11-13,JTC - Jamestown-1,27.9,80.0,7.2,144.8
2006-11-15,JTC - Jamestown-1,27.7,78.0,0.0,143.9
2006-11-17,JTC - Jamestown-1,28.4,75.0,0.0,145.2
2006-11-19,JTC - Jamestown-1,28.8,74.0,0.0,181.9
2006-11-21,JTC - Jamestown-1,27.8,79.0,6.7,141.3
2006-11-23,JTC - Jamestown-1,28.0,77.0,0.0,145.6
2006-11-25,JTC - Jamestown-1,27.2,80.0,0.8,134.2
2006-11-27,JTC - Jamestown-1,28.1,76.0,0.0,127.5
2006-11-29,JTC - Jamestown-1,28.4,74.0,0.0,128.0
2006-12-01,JTC - Jamestown-1,27.9,77.0,5.9,128.7
2006-12-03,JTC - Jamestown-1,27.1,84.0,5.2,122.0
2006-12-05,JTC - Jamestown-1,27.9,78.0,0.0,137.5
2006-12-07,JTC - Jamestown-1,28.5,74.0,0.0,153.5
2006-12-09,JTC - Jamestown-1,28.8,76.0,0.0,159.7
2006-12-11,JTC - Jamestown-1,29.0,76.0,0.0,157.2
2006-12-13,JTC - Jamestown-1,28.6,78.0,0.0,137.2
2006-12-15,JTC - Jamestown-1,28.2,78.0,0.2,142.1
2006-12-17,JTC - Jamestown-1,28.6,79.0,0.0,145.0
2006-12-19,JTC - Jamestown-1,27.9,78.0,0.0,138.9
2006-12-21,JTC - Jamestown-1,28.4,78.0,0.3,139.2
